CustomerID,Gender,Age,LoyaltyPoints,FeedbackScore
1,Female,70,514,4
2,Non-Binary,60,403,2
3,Female,42,907,3
4,Female,31,925,1
5,Female,36,724,4
6,Female,51,150,5
7,Male,50,102,4
8,Female,40,79,4
9,Female,31,659,1
10,Male,47,770,4
11,Male,31,861,3
12,Male,45,854,5
13,Female,54,222,1
14,Non-Binary,22,509,2
15,Female,63,363,1
16,Non-Binary,57,306,1
17,Female,61,671,1
18,Male,36,139,1
19,Non-Binary,36,550,1
20,Male,68,727,3
21,Female,44,614,1
22,Male,47,9,4
23,Non-Binary,50,650,2
24,Female,28,370,1
25,Non-Binary,18,301,5
26,Non-Binary,32,625,2
27,Female,18,120,2
28,Female,63,999,5
29,Female,35,51,2
30,Non-Binary,24,95,2
31,Non-Binary,48,462,5
32,Female,29,338,1
33,Male,20,930,4
34,Female,61,238,1
35,Female,30,657,3
36,Female,27,437,4
37,Female,48,661,4
38,Male,55,887,1
39,Non-Binary,39,642,2
40,Non-Binary,28,5,5
41,Female,25,145,2
42,Female,23,227,2
43,Female,42,778,5
44,Non-Binary,43,894,4
45,Male,18,883,5
46,Non-Binary,37,955,3
47,Non-Binary,30,246,4
48,Non-Binary,28,224,4
49,Non-Binary,68,810,2
50,Non-Binary,66,347,3
51,Non-Binary,63,811,5
52,Male,59,667,4
53,Non-Binary,67,831,1
54,Non-Binary,35,370,2
55,Male,39,514,1
56,Non-Binary,43,433,5
57,Female,23,119,1
58,Non-Binary,56,273,3
59,Non-Binary,41,791,3
60,Female,59,352,4
61,Non-Binary,67,297,4
62,Non-Binary,36,494,1
63,Female,36,851,2
64,Male,21,461,3
65,Male,30,248,2
66,Non-Binary,34,292,2
67,Male,39,827,3
68,Non-Binary,28,59,1
69,Female,49,118,2
70,Male,58,629,3
71,Male,50,12,2
72,Non-Binary,19,355,2
73,Non-Binary,41,1,3
74,Male,48,232,1
75,Non-Binary,43,440,4
76,Male,40,110,4
77,Female,56,701,3
78,Non-Binary,24,139,1
79,Non-Binary,47,22,4
80,Male,29,782,5
81,Non-Binary,67,756,5
82,Non-Binary,55,928,2
83,Non-Binary,23,303,5
84,Male,19,903,5
85,Male,62,956,3
86,Female,61,267,2
87,Non-Binary,54,555,2
88,Female,61,271,4
89,Female,48,490,5
90,Female,65,876,2
91,Female,36,720,1
92,Male,69,773,3
93,Female,28,770,3
94,Male,39,803,5
95,Female,60,26,5
96,Female,26,101,1
97,Female,47,116,3
98,Female,54,425,1
99,Female,21,359,1
100,Non-Binary,27,432,4
101,Female,49,592,1
102,Male,55,199,4
103,Female,64,254,4
104,Non-Binary,34,162,5
105,Female,49,219,3
106,Male,64,56,4
107,Female,69,567,1
108,Female,28,43,1
109,Female,20,439,1
110,Non-Binary,43,966,3
111,Female,26,615,3
112,Non-Binary,36,517,4
113,Non-Binary,40,609,1
114,Female,28,521,1
115,Non-Binary,47,827,2
116,Female,49,311,5
117,Female,23,177,5
118,Non-Binary,45,138,4
119,Female,69,87,4
120,Non-Binary,44,202,3
121,Non-Binary,20,679,5
122,Female,58,209,1
123,Male,36,928,3
124,Female,56,342,1
125,Non-Binary,44,696,4
126,Male,46,668,5
127,Non-Binary,66,865,2
128,Female,51,917,3
129,Female,24,669,2
130,Male,31,359,3
131,Male,21,771,1
132,Non-Binary,44,678,1
133,Female,26,100,4
134,Female,36,557,3
135,Male,63,46,2
136,Non-Binary,66,589,2
137,Female,59,781,4
138,Female,49,52,3
139,Non-Binary,23,2,5
140,Female,24,487,1
